period,origin,origin_name,dest,dest_name,delta_weight
2018H1,64000,高雄,10008,南投,1
2018H1,10015,花蓮,10005,苗栗,-1
2018H1,10015,花蓮,10008,南投,-3
2018H1,68000,桃園,65000,新北,-1
2018H1,10008,南投,68000,桃園,2
2018H1,10020,嘉義市,10005,苗栗,-1
2018H1,66000,臺中,10007,彰化,3
2018H1,10002,宜蘭,10009,雲林,1
2018H1,10010,嘉義縣,10007,彰化,1
2018H1,10005,苗栗,10004,新竹縣,-1
2018H1,10002,宜蘭,66000,臺中,-2
2018H1,66000,臺中,10018,新竹市,-3
2018H1,10017,基隆,10002,宜蘭,2
2018H1,10004,新竹縣,10018,新竹市,-15
2018H1,10014,臺東,10015,花蓮,-1
2018H1,63000,臺北,10017,基隆,-2
2018H1,10008,南投,10016,澎湖,1
2018H1,64000,高雄,65000,新北,2
2018H1,10015,花蓮,65000,新北,4
2018H1,64000,高雄,63000,臺北,1
2018H1,10015,花蓮,63000,臺北,-2
2018H1,10018,新竹市,10005,苗栗,1
